project_id,cva_percentage
52687,0.05
52765,0.1
52526,0.12
52325,0.1
52802,0.4
52848,0.39
52637,0.4
52820,0.25
52714,0.33
52712,0.5
52766,0.39
52344,0.1
52446,0.6
52768,0.04
52438,0.44
52584,0.49
52496,0.22
52847,0.5
52429,0.46
52824,0.3
52436,0.11
154987,0.43
156132,0.49
154996,0.72
151204,0.5
152145,0.4
150858,0.5
152614,0.34
151079,0.3
156674,0.03
154024,1
155661,0.38
155662,0.3
154614,0.05
157150,0.25
158319,0.05
150981,0.1
153922,0.6
154694,0.05
153820,0.01
156049,0.77
157047,0.15
154792,0.12
154169,0.12
155252,0.4
155234,0.1
157161,0.1
154076,0.7
156166,0.43
156045,0.77
153034,0.1
153568,0.05
150967,0.55
157363,0.15
155054,0.3
155167,0.11
155075,0.02
155073,0.06
155085,0.1
155179,0
155093,0
157192,0.1
157369,0.2
157040,0.05
157311,0.01
157285,0.2
157292,0.1
157070,0.01
150382,0.86
157195,0.06
152030,0
151703,0.55
152132,0.25
157180,0.1
157183,0.05
157074,0.15
155643,0.26
152868,0.3
154438,0.1
153264,0.24
152900,0.23
153545,0.4
153182,0.1
154393,0.8
154657,0.81
154097,0.01
156685,0.17
154986,0.05
152681,0.01
152017,0.01
152014,0.4
156686,0.17
155493,0.2
154711,0.1
151879,0.5
155071,0
154649,0.05
150258,0.18
153111,0.2
157217,0.1
154542,0.13
155500,0.25
156734,0.66
150673,0.85
155070,0.05
154106,0.4
156547,0.29
158291,0.04
151374,0.1
151577,0.63
156663,0.07
156781,0.4
153958,0.04
151557,0.2
154271,1
155296,0.1
152279,1
156609,0.2
153208,0.1
152760,0.15
152517,0.5
153181,0.1
154162,0.5
151542,1
151533,0.6
154910,0.46
157094,0.1
151628,0.15
156699,0.03
152721,0.1
152759,0.4
151302,0.35
150868,0.8
155170,0
150135,0.65
158347,0.01
154572,0.05
153729,0.09
151566,0.01
151357,0.1
154713,0.05
152418,0.3
153118,0.1
152852,0.2
152501,0.05
153243,0.3
152723,0.1
152624,0.15
153655,0.16
151405,0.43
153338,0.3
152753,0.1
153275,0.1
152932,0.3
150650,0.17
152574,0.14
155775,0.5
152642,0.05
152865,0.16
152417,0.5
152979,0.12
153710,1
153237,1
152550,0.15
152515,0.1
155909,0.3
156418,0.1
152559,0.1
152726,0.5
152763,0.3
156504,0.05
152801,0.1
153231,0.05
153638,0.05
152818,0.15
155275,0.7
152454,0.1
152555,0.3
156635,0.54
153441,0.1
152645,0.45
152650,0.25
153075,0.05
152609,0
155035,0
155083,0
155189,0.05
151805,0.12
151800,0.12
154724,0.2
151251,0.19
151148,0.72
158349,0.05
153406,0.7
154270,0.05
154080,0.17
154447,0.36
154457,0.42
153138,0.5
152701,0.25
152521,0.2
152965,0.25
152120,0.13
157434,0.15
154837,0.3
153291,0.1
153984,0.7
155922,0.26
154243,0.4
153896,0.2
154279,0.6
152811,0.4
152675,0.2
154319,0.3
152043,0.25
154297,0.08
155523,1
155148,0.05
153292,0.03
156816,0.9
154642,0.26
153835,0.11
155901,0.3
152289,1
157120,0.46
156869,0.2
155226,0.6
156924,0.15
156874,0.05
150532,0.66
156387,0.15
155933,0.3
156821,0.3
150718,0.25
151672,0.4
150660,0.48
150617,0.1
154233,0.2
153833,0.9
153813,1
151916,1
152034,0.4
150788,0.05
156490,0.04
155187,0.1
155214,0.08
155016,0
155176,0
156107,0.6
156550,0.57
154821,0.24
154516,0.15
156919,0.25
154269,0.2
157740,0.4
152010,0.7
154575,0.03
154592,0.01
150590,1
150573,1
150755,0.73
151767,0.35
154022,0.35
155529,0.17
155511,0.2
151831,0.36
151913,0.9
155172,0.05
154444,0.3
150834,0.43
157418,0.35
153217,0.03
151661,0.02
154032,0.2
154506,0.3
154065,0.2
155227,0.07
151757,0.07
151112,0.03
151435,0.2
152280,1
157073,0.05
151532,0.16
152141,0.6
152037,0.26
154178,1
154597,0.05
150724,1
150363,0.15
154408,0.1
153479,0.11
158400,0.37
155146,0.8
155247,0.25
153074,0.2
153614,0.5
157059,0.6
157061,1
155292,0.1
157097,0.35
