project_id,cva_percentage,cva
150090,0,FALSE
150098,0,FALSE
150126,0,FALSE
150132,0,FALSE
150135,0.65,TRUE
150143,0,FALSE
150148,0,FALSE
150220,0,FALSE
150226,0.1,TRUE
150227,0,FALSE
150229,0,FALSE
150258,0.18,TRUE
150269,0,FALSE
150284,0,FALSE
150291,0,FALSE
150294,0,FALSE
150295,0,FALSE
150341,0,FALSE
150350,0,FALSE
150354,0,FALSE
150363,0.15,TRUE
150382,0.86,TRUE
150434,0,FALSE
150452,0,FALSE
150460,0,FALSE
150483,0,FALSE
150496,0,FALSE
150499,0,FALSE
150501,0.3,TRUE
150521,0,FALSE
150532,0.66,TRUE
150533,0,FALSE
150555,0,FALSE
150557,0,FALSE
150559,0,FALSE
150560,0,FALSE
150573,1,TRUE
150578,0,FALSE
150585,0,FALSE
150590,1,TRUE
150617,0.1,TRUE
150628,0,FALSE
150638,0,FALSE
150640,0,FALSE
150642,0,FALSE
150650,0.17,TRUE
150657,0,FALSE
150660,0.48,TRUE
150661,0,FALSE
150670,0,FALSE
150672,0,FALSE
150673,0.85,TRUE
150676,0,FALSE
150679,0.48,TRUE
150680,0.23,TRUE
150691,0,FALSE
150708,0,FALSE
150718,0.25,TRUE
150724,1,TRUE
150726,0,FALSE
150729,0,FALSE
150743,0,FALSE
150748,0.07,TRUE
150749,0,FALSE
150753,0,FALSE
150755,0.73,TRUE
150757,0,FALSE
150762,0,FALSE
150771,0,FALSE
150779,0,FALSE
150783,0,FALSE
150788,0.05,TRUE
150793,0,FALSE
150794,0,FALSE
150796,0,FALSE
150801,0,FALSE
150808,0.08,TRUE
150821,0,FALSE
150823,0,FALSE
150834,0.43,TRUE
150838,0,FALSE
150844,0,FALSE
150845,0,FALSE
150847,0,FALSE
150858,0.5,TRUE
150868,0.8,TRUE
150871,0,FALSE
150875,0,FALSE
150880,0.3,TRUE
150887,0.2,TRUE
150902,0,FALSE
150945,0,FALSE
150949,0,FALSE
150954,0.1,TRUE
150959,0,FALSE
150967,0.55,TRUE
150976,0,FALSE
150981,0.1,TRUE
150990,0,FALSE
151003,0,FALSE
151004,0,FALSE
151010,0,FALSE
151044,0,FALSE
151047,0,FALSE
151051,0,FALSE
151052,0,FALSE
151072,0,FALSE
151073,0,FALSE
151076,0.1,TRUE
151079,0.3,TRUE
151086,0.4,TRUE
151088,0,FALSE
151096,0,FALSE
151097,0,FALSE
151104,0,FALSE
151106,0,FALSE
151109,0,FALSE
151112,0.03,TRUE
151115,0,FALSE
151124,0,FALSE
151126,0,FALSE
151132,0,FALSE
151133,0.35,TRUE
151148,0.72,TRUE
151162,0.2,TRUE
151167,0,FALSE
151181,0,FALSE
151187,0,FALSE
151188,0.21,TRUE
151201,0,FALSE
151202,0,FALSE
151204,0.5,TRUE
151227,0,FALSE
151239,0.2,TRUE
151240,0.78,TRUE
151244,0.1,TRUE
151250,0,FALSE
151251,0.19,TRUE
151254,0,FALSE
151260,0.01,TRUE
151277,0.3,TRUE
151287,0,FALSE
151291,0,FALSE
151302,0.35,TRUE
151307,0,FALSE
151324,0,FALSE
151357,0.1,TRUE
151359,0.2,TRUE
151367,0,FALSE
151368,0.65,TRUE
151373,0,FALSE
151374,0.1,TRUE
151382,0,FALSE
151384,0,FALSE
151386,0,FALSE
151405,0.43,TRUE
151411,0,FALSE
151412,0,FALSE
151414,0,FALSE
151421,0.5,TRUE
151423,0,FALSE
151430,0,FALSE
151435,0.2,TRUE
151439,0,FALSE
151440,0,FALSE
151453,0,FALSE
151461,0,FALSE
151464,0.6,TRUE
151467,0,FALSE
151469,0,FALSE
151473,0,FALSE
151474,0.8,TRUE
151510,0,FALSE
151516,0,FALSE
151520,0,FALSE
151524,0.8,TRUE
151528,0.8,TRUE
151532,0.16,TRUE
151533,0.6,TRUE
